Ready, set, go! 
first racer : 1 
second racer : 1 
first racer : 2 
second racer : 2 
first racer : 3 
second racer : 3 
first racer : 4 
second racer : 4 
first racer : 5 
second racer : 5 
first racer : 6 
second racer : 6 
first racer : 7 
second racer : 7 
first racer : 8 
second racer : 8 
first racer : 9 
second racer : 9 
first racer : 10 
second racer : 10 
first racer : 11 
second racer : 11 
first racer : 12 
second racer : 12 
second racer : 13 
first racer : 13 
second racer : 14 
first racer : 14 
second racer : 15 
first racer : 15 
second racer : 16 
first racer : 16 
second racer : 17 
first racer : 17 
second racer : 18 
first racer : 18 
second racer : 19 
first racer : 19 
second racer : 20 
first racer : 20 
second racer : 21 
first racer : 21 
second racer : 22 
first racer : 22 
first racer : 23 
second racer : 23 
second racer : 24 
first racer : 24 
second racer : 25 
first racer : 25 
second racer : 26 
first racer : 26 
second racer : 27 
first racer : 27 
second racer : 28 
second racer : 29 
first racer : 28 
second racer : 30 
first racer : 29 
second racer : 31 
first racer : 30 
second racer : 32 
first racer : 31 
second racer : 33 
first racer : 32 
second racer : 34 
first racer : 33 
second racer : 35 
first racer : 34 
second racer : 36 
second racer : 37 
first racer : 35 
second racer : 38 
first racer : 36 
second racer : 39 
first racer : 37 
second racer : 40 
first racer : 38 
second racer : 41 
first racer : 39 
second racer : 42 
first racer : 40 
second racer : 43 
first racer : 41 
second racer : 44 
first racer : 42 
second racer : 45 
first racer : 43 
second racer : 46 
first racer : 44 
second racer : 47 
first racer : 45 
second racer : 48 
first racer : 46 
second racer : 49 
first racer : 47 
second racer : 50 
first racer : 48 
second racer : 51 
first racer : 49 
second racer : 52 
first racer : 50 
second racer : 53 
first racer : 51 
second racer : 54 
first racer : 52 
second racer : 55 
first racer : 53 
second racer : 56 
first racer : 54 
second racer : 57 
first racer : 55 
second racer : 58 
first racer : 56 
second racer : 59 
first racer : 57 
second racer : 60 
first racer : 58 
second racer : 61 
first racer : 59 
second racer : 62 
first racer : 60 
second racer : 63 
first racer : 61 
second racer : 64 
first racer : 62 
second racer : 65 
first racer : 63 
second racer : 66 
first racer : 64 
second racer : 67 
first racer : 65 
second racer : 68 
second racer : 69 
first racer : 66 
second racer : 70 
first racer : 67 
second racer : 71 
first racer : 68 
second racer : 72 
second racer : 73 
first racer : 69 
second racer : 74 
first racer : 70 
second racer : 75 
first racer : 71 
second racer : 76 
first racer : 72 
second racer : 77 
first racer : 73 
second racer : 78 
first racer : 74 
second racer : 79 
first racer : 75 
second racer : 80 
first racer : 76 
second racer : 81 
first racer : 77 
second racer : 82 
first racer : 78 
second racer : 83 
second racer : 84 
first racer : 79 
second racer : 85 
first racer : 80 
second racer : 86 
first racer : 81 
second racer : 87 
first racer : 82 
second racer : 88 
second racer : 89 
first racer : 83 
second racer : 90 
first racer : 84 
second racer : 91 
first racer : 85 
second racer : 92 
first racer : 86 
second racer : 93 
first racer : 87 
second racer : 94 
first racer : 88 
second racer : 95 
second racer : 96 
first racer : 89 
second racer : 97 
first racer : 90 
second racer : 98 
first racer : 91 
second racer : 99 
first racer : 92 
second racer : 100 
first racer : 93 
second racer : I won! 
first racer : 94 
first racer : 95 
first racer : 96 
first racer : 97 
first racer : 98 
first racer : 99 
first racer : 100 
first racer : I lost! 
